sample_name,Nnet,version
F1-1,0.000166589,1
F1-1,0.000183325,1
F1-1,0.000145762,1
F1-1,0.0002377,1
F1-1,5.75E-05,1
F1-1,0.000198607,1
F1-1,1.78E-05,1
F1-1,9.85E-05,1
F1-1,0.000503148,1
F1-1,1.12E-05,1
F1-1,1.02E-05,1
F1-1,-3.27E-05,1
F1-1,0.000199287,1
F1-1,9.95E-05,1
F1-1,0.000186215,1
F1-1,-0.000254511,1
F1-1,4.12E-05,1
F1-1,0.000221641,1
F1-1,0.000154245,1
F1-1,0.000365104,1
F1-1,-0.000109535,1
F1-1,0.000489696,1
F1-1,0.000287542,1
F1-1,0.000290534,1
F1-1,-8.76E-05,1
F1-1,-0.000402389,1
F1-1,0.000107037,1
F1-1,2.60E-05,1
F1-1,3.49E-05,1
F1-1,0.000476746,1
F1-1,0.000265544,1
F1-1,-0.00040523,1
F1-1,0.000386352,1
F1-1,0.000657527,1
F1-1,0.000327094,1
F1-1,-0.000184802,1
F1-1,-9.94E-05,1
F1-1,0.000236973,1
F1-1,0.000113666,1
F1-1,0.000138043,1
F1-1,0.000518092,1
F1-1,0.000228817,1
F1-1,3.23E-05,1
F1-1,0.000132532,1
F1-1,0.00016308,1
F1-1,0.000451652,1
F1-2,0.000429472,1
F1-2,0.000604948,1
F1-2,0.000255179,1
F1-2,0.000559289,1
F1-2,0.000539989,1
F1-2,0.000501793,1
F1-2,0.000935382,1
F1-2,0.000569789,1
F1-2,0.000336197,1
F1-2,-0.000197846,1
F1-2,0.000186243,1
F1-2,3.91E-05,1
F1-2,0.000594424,1
F1-2,-0.000340607,1
F1-2,0.00042241,1
F1-2,0.000275973,1
F1-2,0.000579299,1
F1-2,0.000270689,1
F1-2,0.000368165,1
F1-2,0.00042424,1
F1-2,0.000472591,1
F1-2,0.000169154,1
F1-2,0.000442114,1
F1-2,0.000303531,1
F1-2,0.000430982,1
F1-2,0.000200108,1
F1-2,0.000488557,1
F1-2,0.000578154,1
F1-2,0.001009254,1
F1-2,0.000293941,1
F1-2,0.000408025,1
F1-2,0.000135111,1
F1-2,0.000174439,1
F1-2,0.000335673,1
F1-2,0.000134436,1
F1-2,0.001517317,1
F1-2,0.000172362,1
F1-2,0.002064919,1
F1-2,0.000466317,1
F1-2,0.00022607,1
F1-2,0.000380791,1
F1-2,8.48E-05,1
F1-2,-1.62E-05,1
F1-2,5.73E-05,1
F1-2,0.000999805,1
F1-2,0.000329679,1
F1-2,0.000307313,1
F1-2,0.000202373,1
F1-2,-0.000341316,1
F1-2,0.000463703,1
F1-2,0.00043823,1
F1-2,0.00013199,1
F1-2,0.000213468,1
F1-2,6.22E-05,1
F1-2,0.000396665,1
F1-2,6.35E-05,1
F1-2,0.001981824,1
F1-2,0.000201466,1
F1-2,0.00045348,1
F1-2,0.000162652,1
F1-2,0.000390331,1
F1-2,0.000230387,1
F1-2,8.24E-05,1
F1-2,0.000335637,1
F1-2,0.0003912,1
F1-2,0.000595247,1
F1-2,0.000330111,1
F1-2,5.60E-05,1
F1-2,0.000136318,1
F1-2,0.000540188,1
F1-2,0.000241248,1
F1-2,0.000384146,1
F1-2,0.000442682,1
F1-2,0.000536712,1
F1-2,0.000538681,1
F1-2,0.000603976,1
F1-2,0.00096743,1
F1-2,-1.28E-05,1
F1-2,-5.31E-05,1
F1-2,0.00036265,1
F1-2,0.00046909,1
F1-2,0.00022337,1
F1-2,0.000354512,1
F1-2,0.000161568,1
F1-2,0.000470859,1
F1-2,5.53E-05,1
F1-2,0.000364408,1
F1-2,-4.40E-05,1
F1-2,0.000664907,1
F1-2,0.000238425,1
F1-2,-0.000256333,1
F1-2,0.000524074,1
F1-2,0.000514187,1
F1-2,0.000120579,1
F1-2,0.00015334,1
F1-2,0.000222882,1
F1-2,0.000298982,1
F1-2,5.69E-06,1
F1-2,0.000178945,1
F1-2,0.00028058,1
F1-2,0.000343529,1
F1-2,0.000485841,1
F1-2,-0.000202915,1
F1-2,0.001386955,1
F1-2,0.000212324,1
F1-2,0.00027779,1
F1-2,0.000321953,1
F1-2,-3.53E-05,1
F1-2,9.93E-05,1
F1-2,0.0005885,1
F1-2,0.00076647,1
F1-2,7.14E-05,1
F1-2,0.00050717,1
F1-2,-0.00034379,1
F1-2,0.000876159,1
F1-2,6.15E-05,1
F1-2,9.97E-05,1
F1-2,0.000161473,1
F1-2,0.000507859,1
F1-2,0.000669329,1
F1-2,0.000256703,1
F1-2,0.000383058,1
F1-2,0.000729909,1
F1-2,0.000847526,1
F1-2,0.001432501,1
F1-2,0.000301123,1
F1-2,0.000968334,1
F1-2,0.000320719,1
F1-2,0.000306196,1
F1-2,0.000549568,1
F1-2,0.000555929,1
F1-2,0.00054296,1
F1-2,0.000707886,1
F1-2,0.000257756,1
F1-2,8.62E-05,1
F1-2,0.000456283,1
F1-2,0.000818454,1
F1-2,0.000318873,1
F1-2,0.000661461,1
F1-2,-0.000105489,1
F1-2,0.002213718,1
F1-2,0.000230035,1
F1-2,0.000213922,1
F1-2,0.000444097,1
F1-3,0.000261273,1
F1-3,0.000155165,1
F1-3,4.53E-05,1
F1-3,0.000121838,1
F1-3,1.53E-05,1
F1-3,-2.96E-05,1
F1-3,6.06E-05,1
F1-3,-1.48E-05,1
F1-3,6.46E-05,1
F1-3,0.000356507,1
F1-3,0.000139937,1
F1-3,0.000289084,1
F1-3,0.000283138,1
F1-3,0.000259752,1
F1-3,-6.21E-05,1
F1-3,4.16E-06,1
F1-3,0.000181031,1
F1-3,8.36E-05,1
F1-3,0.00019377,1
F1-3,0.000173377,1
F1-3,4.97E-05,1
F1-3,0.000124731,1
F1-3,0.000258244,1
F1-3,0.000283658,1
F1-3,0.0002691,1
F1-3,0.000174923,1
F1-3,9.41E-05,1
F1-3,0.000141103,1
F1-3,0.00016585,1
F1-3,0.000113704,1
F1-3,0.0003211,1
F1-3,0.000173268,1
F1-3,5.53E-05,1
F1-3,0.000183533,1
F1-3,-0.000246555,1
F1-3,-9.47E-06,1
F1-3,0.000184286,1
F1-3,9.12E-05,1
F1-3,0.00020538,1
F1-3,-3.91E-05,1
F1-3,0.000207801,1
F1-3,9.94E-05,1
F1-3,0.000126093,1
F1-3,0.000367599,1
F1-3,9.51E-05,1
F1-3,0.000260933,1
F1-3,-3.26E-06,1
F1-3,0.00012836,1
F1-3,0.000276547,1
F1-3,0.00023207,1
F1-3,0.000135564,1
F1-3,0.000256071,1
F1-3,0.000162204,1
F1-3,-6.27E-05,1
F1-3,9.76E-05,1
F1-3,0.000219456,1
F1-3,6.72E-05,1
F1-3,0.00016403,1
F1-3,7.89E-05,1
F1-3,0.000145912,1
F1-3,-3.09E-05,1
F1-3,0.000175316,1
F1-3,4.10E-05,1
F1-3,8.69E-05,1
F1-3,0.000270546,1
F1-3,0.000218705,1
F1-3,0.000166115,1
F1-3,0.000203566,1
F1-3,7.15E-05,1
F1-3,0.000169492,1
F1-3,0.000167028,1
F1-3,8.79E-05,1
F1-3,0.000184788,1
F1-3,0.000198737,1
F1-3,0.000290058,1
F1-3,0.000124002,1
F1-3,0.000130453,1
F1-3,0.000111592,1
F1-3,0.000152964,1
F1-3,0.000293516,1
F1-3,0.000154211,1
F1-3,7.49E-05,1
F1-3,0.000210723,1
F1-3,0.000210837,1
F1-3,0.000189898,1
F1-3,8.96E-05,1
F1-3,-7.09E-05,1
F1-3,7.95E-05,1
F1-3,0.000228528,1
F1-3,0.000115876,1
F1-3,0.000176632,1
F1-3,0.000429792,1
F1-3,0.000212591,1
F1-3,0.000222937,1
F1-3,9.51E-05,1
F1-3,0.000201254,1
F1-3,0.000158473,1
F1-3,7.60E-05,1
F1-3,0.000206262,1
F1-3,0.000130742,1
F1-3,0.000104838,1
F1-3,9.23E-05,1
F1-3,2.99E-05,1
F1-3,2.71E-05,1
F1-3,9.11E-05,1
F1-3,0.000259067,1
F1-3,9.62E-05,1
F1-3,0.000195203,1
F1-3,0.000317579,1
F1-3,0.000112738,1
F1-3,0.000246699,1
F1-3,0.000206604,1
F1-3,0.000179396,1
F1-3,6.50E-05,1
F1-3,0.000211037,1
F1-3,0.000122819,1
F1-3,-0.000150148,1
F1-3,0.000134421,1
F1-3,7.56E-05,1
F1-3,-0.000213357,1
F1-3,0.000319439,1
F1-3,0.000115304,1
F1-3,0.000300999,1
F1-3,0.000135824,1
F1-3,0.000126707,1
F1-3,4.45E-05,1
F1-3,0.000107712,1
F1-3,-1.77E-07,1
F1-3,0.000106604,1
F1-3,0.000339541,1
F1-3,0.000236056,1
F1-3,0.00021163,1
F1-3,3.78E-05,1
F1-3,3.34E-05,1
F1-3,0.000142307,1
F1-3,-0.000100633,1
F1-3,0.000266063,1
F1-3,0.000101967,1
F1-3,0.000408819,1
F1-3,0.000107396,1
F1-3,-7.53E-06,1
F1-3,-5.14E-05,1
F1-3,0.000232486,1
F1-3,0.000195513,1
F1-3,-2.79E-05,1
F1-3,0.000200117,1
F1-3,0.000130645,1
F1-3,0.000220036,1
F1-3,-1.76E-05,1
F1-3,4.91E-05,1
